Record ID,Company name,Company Domain Name,Company owner,Industry,Number of Employees,Country/Region,Create Date,Last Activity Date
1001,Vandelay115 Ltd,vandelay115.io,Sarah Chen,Manufacturing,45,Mexico,2025-12-03,2025-08-17
1002,Gekko914 Inc.,gekko914.net,,Software,12,Australia,2025-04-09,2026-04-01
1003,Cyberdyne617 Group,cyberdyne617.io,Sarah Chen,Education,45,Canada,2024-12-08,2026-07-26
1004,Prestige826 GmbH,prestige826.co,Tom Becker,Retail,45,United States,2024-08-10,2026-06-07
1005,Globex390 Ltd,globex390.co,Sarah Chen,Retail,12,Mexico,2023-12-03,2025-10-28
1006,Globex997 Inc.,globex997.co,Omar Haddad,Logistics,2500,Germany,2026-02-08,2026-07-06
1007,Vandelay234 Inc.,vandelay234.io,,,500,France,2023-12-15,2025-09-07
1008,Stark167 Ltd,stark167.io,Ingrid Larsen,Retail,8000,United Kingdom,2025-07-15,2025-10-29
1009,Gekko251 GmbH,gekko251.net,Tom Becker,Retail,8000,Mexico,2023-05-17,2026-04-08
1010,Vandelay333 LLC,vandelay333.com,Sarah Chen,Logistics,500,Canada,2026-02-15,2026-04-12
1011,Soylent898 LLC,soylent898.net,Ingrid Larsen,Education,8000,United Arab Emirates,2025-09-11,2026-03-16
1012,Initech253 Group,initech253.co,Mei Tan,Education,2500,India,2024-06-19,2026-04-08
1013,Initech522 Inc.,initech522.com,Omar Haddad,Financial Services,45,Germany,2024-02-17,2025-09-27
1014,Globex395 Group,globex395.net,Omar Haddad,Retail,2500,United Kingdom,2025-11-08,2025-08-14
1015,Cyberdyne769 Ltd,cyberdyne769.com,Ingrid Larsen,Retail,500,Germany,2023-12-14,2026-07-28
1016,Gekko897 Group,gekko897.io,Ingrid Larsen,Financial Services,8000,France,2023-08-26,2025-09-21
1017,Umbrella157 LLC,umbrella157.com,Ingrid Larsen,Logistics,500,United Kingdom,2025-11-13,2026-01-25
1018,Prestige315 Inc.,prestige315.io,,,12,Mexico,2023-10-09,2026-06-24
1019,Prestige546 LLC,prestige546.net,Tom Becker,Healthcare,130,Mexico,2024-02-15,2026-04-12
1020,Cyberdyne774 Ltd,cyberdyne774.net,Tom Becker,Logistics,500,Mexico,2023-12-19,2026-05-29
1021,Umbrella231 Ltd,umbrella231.com,Sarah Chen,Manufacturing,2500,United States,2026-06-16,2026-06-23
1022,Gekko647 LLC,gekko647.com,Sarah Chen,Software,130,United States,2023-08-13,2026-03-30
1023,Hooli686 LLC,hooli686.io,Omar Haddad,Telecommunications,45,United Arab Emirates,2024-03-19,2026-04-23
1024,Globex100 Ltd,globex100.net,Omar Haddad,Education,500,United Kingdom,2025-12-11,2026-06-28
1025,Wayne746 Inc.,,Ingrid Larsen,Manufacturing,45,United Arab Emirates,2025-09-16,2025-12-25
1026,Initech286 LLC,initech286.com,Omar Haddad,Telecommunications,2500,United Kingdom,2026-03-19,2025-08-30
1027,Cyberdyne857 Inc.,cyberdyne857.io,Sarah Chen,Healthcare,500,Canada,2023-10-19,2026-04-11
1028,Wayne925 LLC,wayne925.net,Sarah Chen,Software,500,Canada,2023-12-12,2026-03-05
1029,Wayne714 GmbH,wayne714.io,Mei Tan,Manufacturing,130,Singapore,2026-03-03,2025-10-06
1030,Gekko556 Ltd,gekko556.com,Sarah Chen,Software,2500,Canada,2023-09-05,2025-10-31
1031,Initech59 Inc.,initech59.io,Mei Tan,Financial Services,2500,Australia,2025-03-06,2026-01-04
1032,Globex965 LLC,globex965.com,Mei Tan,Financial Services,500,Japan,2025-01-12,2026-04-16
1033,Vandelay734 LLC,vandelay734.co,Ingrid Larsen,Education,45,France,2023-12-07,2026-02-18
1034,Prestige959 Inc.,prestige959.net,Sarah Chen,Financial Services,12,Mexico,2025-04-20,2025-11-12
1035,Hooli136 Inc.,,Ingrid Larsen,Logistics,130,Germany,2024-01-15,2025-10-24
1036,Gekko310 Group,gekko310.com,Mei Tan,Retail,8000,Australia,2025-09-28,2026-03-16
1037,Globex912 Group,globex912.io,Sarah Chen,Retail,130,Mexico,2025-04-25,2025-07-27
1038,Stark209 Group,stark209.net,,Retail,12,United Kingdom,2024-02-14,2026-03-10
1039,Acme4 LLC,acme4.co,Ingrid Larsen,,8000,United Arab Emirates,2023-05-28,2025-08-02
1040,Wayne575 Inc.,wayne575.com,Sarah Chen,Healthcare,2500,United States,2024-06-04,2025-10-04
1041,Cyberdyne152 LLC,cyberdyne152.com,Omar Haddad,Retail,130,United Kingdom,2024-06-28,2026-04-13
1042,Vandelay256 Ltd,vandelay256.net,Sarah Chen,Healthcare,45,United States,2025-07-03,2025-12-30
1043,Acme184 GmbH,acme184.io,Ingrid Larsen,Retail,45,United Kingdom,2024-05-08,2026-07-10
1044,Wonka228 GmbH,wonka228.co,Tom Becker,Retail,45,United States,2026-05-13,2025-08-26
1045,Umbrella409 Ltd,,Ingrid Larsen,Retail,130,United Arab Emirates,2023-06-28,2026-02-10
1046,Acme119 LLC,acme119.co,Ingrid Larsen,Software,12,United Arab Emirates,2024-07-23,2025-07-21
1047,Prestige322 Group,prestige322.com,Omar Haddad,Education,2500,Germany,2025-01-25,2026-07-07
1048,Gekko447 Group,gekko447.io,Sarah Chen,Logistics,500,United States,2024-08-23,2025-09-13
1049,Stark680 Ltd,,Sarah Chen,Education,130,Canada,2024-11-02,2025-10-19
1050,Initech197 GmbH,initech197.io,Omar Haddad,Retail,500,United Kingdom,2024-10-16,2026-03-05
1051,Umbrella441 Group,umbrella441.co,Mei Tan,Telecommunications,500,India,2025-04-19,2025-11-10
1052,Wonka813 Inc.,wonka813.co,Tom Becker,Logistics,12,United States,2024-10-03,2026-04-05
1053,Prestige204 Inc.,prestige204.com,Tom Becker,Manufacturing,500,Mexico,2026-02-01,2025-12-08
1054,Wayne908 LLC,wayne908.net,Mei Tan,Telecommunications,500,Singapore,2025-09-01,2025-08-28
1055,Gekko6 GmbH,gekko6.io,Sarah Chen,Healthcare,8000,Mexico,2023-11-22,2026-07-04
1056,Cyberdyne256 GmbH,,Sarah Chen,Telecommunications,8000,Mexico,2023-05-13,2025-09-28
1057,Stark973 Group,stark973.net,Omar Haddad,Telecommunications,45,United Arab Emirates,2023-12-22,2026-03-19
1058,Prestige254 Group,prestige254.net,Ingrid Larsen,Manufacturing,130,United Arab Emirates,2026-01-23,2025-07-29
1059,Hooli241 Ltd,hooli241.co,Ingrid Larsen,Financial Services,45,Germany,2025-03-14,2026-01-14
1060,Gekko157 Inc.,gekko157.net,Tom Becker,Education,130,Mexico,2023-11-19,2025-12-29
1061,Acme212 GmbH,acme212.com,Omar Haddad,Education,500,United Kingdom,2024-07-10,2026-02-27
1062,Prestige400 Group,prestige400.io,Omar Haddad,Telecommunications,45,France,2024-01-20,2025-11-23
1063,Acme399 GmbH,acme399.io,Ingrid Larsen,Telecommunications,45,United Kingdom,2024-04-15,2025-09-29
1064,Soylent679 Inc.,soylent679.net,Sarah Chen,Healthcare,500,United States,2026-03-20,2026-03-18
1065,Wayne336 GmbH,wayne336.co,Tom Becker,Logistics,500,Canada,2024-02-18,2026-03-22
1066,Globex482 Group,globex482.com,Sarah Chen,Logistics,45,Mexico,2026-02-10,2025-06-25
1067,Vandelay42 LLC,vandelay42.io,Sarah Chen,Software,2500,United States,2025-02-27,2026-05-26
1068,Wonka686 Group,wonka686.io,Sarah Chen,Telecommunications,8000,Canada,2024-06-05,2026-05-05
1069,Soylent622 LLC,soylent622.co,Sarah Chen,Financial Services,2500,United States,2024-09-30,2025-10-08
1070,Vandelay930 GmbH,vandelay930.io,,Financial Services,2500,Germany,2025-12-04,2025-08-07
1071,Prestige309 Inc.,prestige309.com,Mei Tan,Logistics,2500,India,2024-06-02,2026-06-24
1072,Cyberdyne664 Inc.,cyberdyne664.net,Ingrid Larsen,,12,United Arab Emirates,2024-06-19,2025-09-07
1073,Wonka725 GmbH,wonka725.io,Tom Becker,Retail,2500,Mexico,2023-10-14,2025-12-03
1074,Wayne846 Ltd,wayne846.co,Mei Tan,Manufacturing,12,Japan,2023-12-20,2026-03-27
1075,Prestige476 Group,prestige476.net,Mei Tan,Logistics,12,India,2024-09-03,2026-04-27
1076,Wonka218 Ltd,wonka218.co,Ingrid Larsen,Retail,2500,France,2023-05-19,2026-07-24
1077,Cyberdyne971 Inc.,cyberdyne971.io,Tom Becker,Education,500,Mexico,2025-02-23,2025-08-10
1078,Wonka662 GmbH,wonka662.com,Omar Haddad,Financial Services,130,Germany,2024-03-24,2025-08-09
1079,Umbrella314 Ltd,umbrella314.net,Mei Tan,Logistics,500,Japan,2024-07-10,2025-08-04
1080,Wonka278 Ltd,wonka278.io,Ingrid Larsen,Financial Services,8000,Germany,2024-09-22,2026-05-29
1081,Soylent622 LLC,soylent622.co,Sarah Chen,Financial Services,2500,United States,2024-09-30,2025-10-08
1082,Globex100 Ltd,globex100.net,Omar Haddad,Education,500,United Kingdom,2025-12-11,2026-06-28
1083,Initech286 LLC,initech286.com,Omar Haddad,Telecommunications,2500,United Kingdom,2026-03-19,2025-08-30
1084,Gekko556 Ltd,gekko556.com,Sarah Chen,Software,2500,Canada,2023-09-05,2025-10-31
1085,Wayne336 GmbH,wayne336.co,Tom Becker,Logistics,500,Canada,2024-02-18,2026-03-22
1086,Acme4 LLC,acme4.co,Ingrid Larsen,Healthcare,8000,United Arab Emirates,2023-05-28,2025-08-02
1087,"Wayne846, Inc.",wayne846-hq.co,Mei Tan,Manufacturing,12,Japan,2023-12-20,2026-03-27
1088,"Cyberdyne152, Inc.",cyberdyne152-hq.com,Omar Haddad,Retail,130,United Kingdom,2024-06-28,2026-04-13
1089,"Initech522, Inc.",initech522-hq.com,Omar Haddad,Financial Services,45,Germany,2024-02-17,2025-09-27
